Name;Higher.degree;Type;Total.applicants;Total.eligibles;Total.qualified;Tuition.fees;Total.students
Birmingham Southern College;Bachelor's degree;Private not-for-profit;1931;1240;356;30690;1188
Huntingdon College;Bachelor's degree;Private not-for-profit;1470;923;261;23500;1110
Judson College;Bachelor's degree;Private not-for-profit;268;198;68;15630;347
University of Mobile;Master's degree;Private not-for-profit;866;617;259;18690;1610
Oakwood University;Master's degree;Private not-for-profit;2728;937;409;16234;1903
Samford University;Doctor's degree research and practice;Private not-for-profit;3447;2653;765;26328;4833
Spring Hill College;Master's degree;Private not-for-profit;6596;3052;431;30924;1422
Stillman College;Bachelor's degree;Private not-for-profit;4121;1772;257;15901;863
Tuskegee University;Doctor's degree research and practice;Private not-for-profit;10022;3519;650;18900;3118
Alaska Pacific University;Doctor's degree practice;Private not-for-profit;494;185;33;29810;669
Embry-Riddle Aeronautical University-Prescott;Master's degree;Private not-for-profit;1689;1334;448;31034;1921
Prescott College;Doctor's degree research;Private not-for-profit;399;291;49;29732;943
Arizona Christian University;Bachelor's degree;Private not-for-profit;344;209;90;21832;635
Lyon College;Bachelor's degree;Private not-for-profit;1309;772;174;23594;592
Central Baptist College;Bachelor's degree;Private not-for-profit;540;292;129;13350;827
Harding University;Doctor's degree research and practice;Private not-for-profit;2180;1663;1041;16170;6238
Hendrix College;Master's degree;Private not-for-profit;1928;1550;436;37816;1444
John Brown University;Master's degree;Private not-for-profit;1143;798;305;22734;2596
Ouachita Baptist University;Bachelor's degree;Private not-for-profit;1740;1220;394;223700;1543
University of the Ozarks;Bachelor's degree;Private not-for-profit;1061;651;159;24350;585
Williams Baptist College;Bachelor's degree;Private not-for-profit;531;361;156;13750;574
Azusa Pacific University;Doctor's degree research and practice;Private not-for-profit;5329;4255;1250;32256;10755
Biola University;Doctor's degree research;Private not-for-profit;4816;3509;903;32142;6301
California Baptist University;Master's degree;Private not-for-profit;3853;3036;993;28122;7144
California Institute of Technology;Doctor's degree research;Private not-for-profit;5535;584;249;41538;2181
California Lutheran University;Doctor's degree practice;Private not-for-profit;6920;3323;540;35720;4282
Chapman University;Doctor's degree research and practice;Private not-for-profit;11750;5253;1289;43573;7892
Concordia University-Irvine;Master's degree;Private not-for-profit;2055;1874;373;29630;4046
San Diego Christian College;Bachelor's degree;Private not-for-profit;561;276;99;25888;914
Claremont McKenna College;Master's degree;Private not-for-profit;5518;647;337;45625;1328
Dominican University of California;Master's degree;Private not-for-profit;2322;1800;305;40600;2147
Fresno Pacific University;Master's degree;Private not-for-profit;705;553;212;25716;3393
Harvey Mudd College;Bachelor's degree;Private not-for-profit;3539;643;217;46509;807
Holy Names University;Master's degree;Private not-for-profit;561;318;87;33020;1343
University of La Verne;Doctor's degree research and practice;Private not-for-profit;6989;2722;623;35000;8796
La Sierra University;Doctor's degree research;Private not-for-profit;3479;1627;477;29103;2440
The Master's College and Seminary;Doctor's degree practice;Private not-for-profit;849;521;209;28800;1499
Loyola Marymount University;Doctor's degree research and practice;Private not-for-profit;11472;6209;1341;40265;9661
Menlo College;Bachelor's degree;Private not-for-profit;4100;1519;139;37100;745
Mills College;Doctor's degree research;Private not-for-profit;1827;1242;217;41494;1595
