Name;Higher.degree;Type;Total.applicants;Total.eligibles;Total.qualified;Tuition.fees;Total.students
Soka University of America;Master's degree;Private not-for-profit;422;183;112;29144;412
Dickinson State University;Bachelor's degree;Public;417;203;165;5846;1449
Arizona Christian University;Bachelor's degree;Private not-for-profit;344;209;90;21832;635
Northwest Christian University;Master's degree;Private not-for-profit;318;224;82;24930;660
Florida College;Bachelor's degree;Private not-for-profit;383;225;196;14490;558
Midway College;Master's degree;Private not-for-profit;446;240;115;22150;1351
Brewton-Parker College;Bachelor's degree;Private not-for-profit;475;244;150;13560;693
Cooper Union for the Advancement of Science and Art;Master's degree;Private not-for-profit;3193;247;186;41400;920
Ursuline College;Doctor's degree professional practice;Private not-for-profit;441;255;103;26720;1357
Mount Mary University;Doctor's degree professional practice;Private not-for-profit;478;258;115;25098;1481
Presentation College;Bachelor's degree;Private not-for-profit;401;265;131;17014;791
York College;Master's degree;Private not-for-profit;546;267;94;15600;470
San Diego Christian College;Bachelor's degree;Private not-for-profit;561;276;99;25888;914
Valley City State University;Master's degree;Public;345;286;186;6516;1366
Central Baptist College;Bachelor's degree;Private not-for-profit;540;292;129;13350;827
University of Maine at Fort Kent;Bachelor's degree;Public;464;292;162;7575;1209
Columbia College;Master's degree;Private not-for-profit;457;297;128;26800;1169
Valley Forge Christian College;Master's degree;Private not-for-profit;451;297;148;19394;1004
Maranatha Baptist University;Master's degree;Private not-for-profit;417;298;210;13120;1035
Kentucky Christian University;Master's degree;Private not-for-profit;590;303;135;17418;594
Texas A & M University-Texarkana;Master's degree;Public;830;309;187;5578;1842
Cairn University-Langhorne;Master's degree;Private not-for-profit;610;313;155;22455;1093
Holy Names University;Master's degree;Private not-for-profit;561;318;87;33020;1343
Simpson University;Master's degree;Private not-for-profit;573;318;150;23300;1255
Mid-Continent University;Master's degree;Private not-for-profit;458;322;201;8673;2251
Blue Mountain College;Master's degree;Private not-for-profit;585;326;83;9470;532
Clearwater Christian College;Master's degree;Private not-for-profit;468;328;126;17125;505
Ohio Valley University;Master's degree;Private not-for-profit;904;329;91;18750;451
St Thomas University;Doctor's degree  research scholarship and professional practice;Private not-for-profit;727;332;210;26370;2315
Southern Vermont College;Bachelor's degree;Private not-for-profit;336;334;93;22000;480
Central Christian College of Kansas;Bachelor's degree;Private not-for-profit;662;334;131;14800;1037
Wesleyan College;Master's degree;Private not-for-profit;779;338;117;19775;700
Gallaudet University;Doctor's degree  research scholarship;Private not-for-profit;520;341;201;13800;1561
Pine Manor College;Master's degree;Private not-for-profit;535;343;119;24930;346
Southwestern Christian University;Master's degree;Private not-for-profit;405;358;254;14220;847
Blackburn College;Bachelor's degree;Private not-for-profit;528;359;116;18506;543
University of Saint Mary;Doctor's degree professional practice;Private not-for-profit;767;361;109;23170;1325
Williams Baptist College;Bachelor's degree;Private not-for-profit;531;361;156;13750;574
Kansas Wesleyan University;Master's degree;Private not-for-profit;689;370;151;23800;729
University of Science and Arts of Oklahoma;Bachelor's degree;Public;594;371;150;4866;918
Montana State University-Northern;Master's degree;Public;376;376;200;5480;1334
Cumberland University;Master's degree;Private not-for-profit;795;376;212;20200;1501
Truett-McConnell College;Bachelor's degree;Private not-for-profit;470;379;204;16610;1606
Montreat College;Master's degree;Private not-for-profit;700;380;109;23520;926
Tabor College;Master's degree;Private not-for-profit;517;380;159;22730;736
University of Maine at Machias;Bachelor's degree;Public;452;386;104;7490;892
Sterling College;Bachelor's degree;Private not-for-profit;883;389;169;21200;690
Southwestern College;Doctor's degree other;Private not-for-profit;436;391;128;23886;1661
College of the Ozarks;Bachelor's degree;Private not-for-profit;3006;391;357;18330;1513
Notre Dame of Maryland University;Doctor's degree  research scholarship and professional practice;Private not-for-profit;838;416;104;32050;2877
